"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",7.38217828135821,0.0656835438356749,112.390072920346,0,7.25311682526461,7.51123973745182
"FAMINCG2$25–49,999",0.378816974585189,0.0620662985782226,6.10342461630386,2.13609429525325e-09,0.256863036032696,0.500770913137682
"FAMINCG2$50–74,999",0.554675613967612,0.0637078601682765,8.70654912129373,5.01558093290066e-17,0.429496174525433,0.679855053409791
"FAMINCG2$75–99,999",0.639136589226775,0.0639216343176873,9.99875231678681,1.62501813817608e-21,0.513537105411425,0.764736073042126
"FAMINCG2$100–124,999",0.813772873505174,0.0698302619180981,11.653584723191,8.03522176002099e-28,0.67656353983867,0.950982207171679
"FAMINCG2$125k+",0.802464507099125,0.0596593274693393,13.4507803077655,3.03020224884541e-35,0.685240020977897,0.919688993220354
"EHG3_01BLess than HS",0.20141432981454,0.0555838050405635,3.62361536184061,0.000321374153747752,0.0921978290772283,0.310630830551851
"EHG3_01BTrade cert/diploma",0.137351392675492,0.0562879083630369,2.4401580493918,0.0150401088803297,0.0267514008119088,0.247951384539076
"EHG3_01BCollege/CEGEP non-univ",0.0602928245420675,0.0444213756682428,1.35729305171365,0.175323302187447,-0.0269906423757245,0.147576291459859
"EHG3_01BUniv < Bachelor",0.219307836153043,0.0802415977135681,2.73309408588658,0.00650487283707297,0.0616412908445412,0.376974381461546
"EHG3_01BBachelor's",0.0633041141442425,0.0452965848229982,1.39754717472875,0.162891996066394,-0.0256990493870845,0.152307277675569
"EHG3_01BUniv > Bachelor",0.0686891437668088,0.0572154181144659,1.20053555545795,0.230521087709907,-0.043733310041884,0.181111597575502
"REE_03At least once a day",0.0934663277329115,0.0389248467522193,2.40119963292039,0.0167192258580212,0.0169829788345937,0.169949676631229
"REE_03At least once a week",0.0739382791367114,0.043409372687415,1.70327914363405,0.0891604594752931,-0.011356705268574,0.159233263541997
"REE_03At least once a month",0.0422362542947499,0.0563712027655193,0.749252317188177,0.454070641617606,-0.0685274025637633,0.152999911153263
"REE_03At least 3 times a year",-0.0823187611196166,0.0773648236962592,-1.06403346103142,0.287846297962401,-0.234332739257642,0.0696952170184083
"REE_03Once or twice a year",-0.0335904889317024,0.0619875699821776,-0.541890720048555,0.588144199322076,-0.155389733832659,0.0882087559692546
"SEXFemale",0.0700015023174876,0.0323119871123548,2.16642517447409,0.0307680824460176,0.00651174731231798,0.133491257322657
